CRICOS Provider Code,Institution Name,Location Name,Location Type,Address Line 1,Address Line 2,Address Line 3,Address Line 4,City,State,Postcode
00053J,Universal Education Centre Pty Ltd,203 Clarence Street SYDNEY - 203 Clarence St SYDNEY NSW 2000,Arrangement with Non Registered Provider,203 Clarence Street,,,,SYDNEY,NSW,2000
00057E,Alexander Language School Pty Ltd,AngliSchools House,Location owned and operated by provider,441-445 Murray St,,,,Perth,WA,6000
00057E,Alexander Language School Pty Ltd,"Level 6, 10 William Street, PERTH WA 6000",Arrangement with Non Registered Provider,10 William St,Level 6,,,Perth,WA,6000
00061J,Milner International College of English (WA) Pty Ltd,Milner International College of English (WA) Pty Ltd,Location owned and operated by provider,379 Hay St,,,,PERTH,WA,6000
00066D,Keyseq Pty Ltd,Keyseq Pty Ltd,Location owned and operated by provider,223 Vincent St,,,,NORTH PERTH,WA,6006
00067C,Holmes Commercial Colleges (Melbourne) Ltd,Holmes Commecial Colleges (Melb) Ltd,Location owned and operated by provider,185 Spring St,,,,Melbourne,VIC,3000
00080F,You Study Pty Ltd,You Study International College,Location owned and operated by provider,"2B Second Floor, Orchid Plaza",58 Lake Street,,,Cairns,QLD,4870
00092B,TAFE SA,Adelaide City Campus,Location owned and operated by provider,120 Currie St,Level 2,,,ADELAIDE,SA,5000
00092B,TAFE SA,Adelaide College of the Arts,Location owned and operated by provider,39 Light Sq,,,,ADELAIDE,SA,5000
00092B,TAFE SA,Barossa Valley Campus,Location owned and operated by provider,74 Old Kapunda Rd,,,,NURIOOTPA,SA,5355
