region,total,lat,lon,state,remoteness,n_government,n_catholic,n_independent,dominant_sector
Coffs Harbour,55,-30.3078,153.0086,NSW,Inner Regional,37,7,11,Government
Colac - Corangamite,40,-38.3237,143.3517,VIC,Inner Regional,30,9,1,Government
Coolangatta,12,-28.149,153.4956,QLD,Major Cities,7,1,4,Government
Cottesloe - Claremont,32,-31.9771,115.779,WA,Major Cities,14,6,12,Government
Creswick - Daylesford - Ballan,29,-37.4864,144.0792,VIC,Inner Regional,20,8,1,Government
Cronulla - Miranda - Caringbah,38,-34.0403,151.1233,NSW,Major Cities,28,8,2,Government
Daly - Tiwi - West Arnhem,30,-12.8556,131.4815,NT,Very Remote,19,5,6,Government
Dandenong,68,-37.9707,145.1733,VIC,Major Cities,41,12,15,Government
Dapto - Port Kembla,32,-34.4786,150.8431,NSW,Major Cities,22,4,6,Government
Darebin - North,39,-37.7244,145.0167,VIC,Major Cities,22,9,8,Government
Darebin - South,17,-37.7655,145.0076,VIC,Major Cities,11,5,1,Government
Darling Downs (West) - Maranoa,61,-27.3471,149.6093,QLD,Outer Regional,50,9,2,Government
Darling Downs - East,33,-27.3221,151.515,QLD,Inner Regional,28,4,1,Government
Darwin City,11,-12.4402,130.8388,NT,Outer Regional,7,2,2,Government
Darwin Suburbs,37,-12.3911,130.8904,NT,Outer Regional,21,4,12,Government
Devonport,23,-41.2134,146.3682,TAS,Outer Regional,17,3,3,Government
Dubbo,57,-32.1081,148.74,NSW,Outer Regional,36,13,8,Government
Dural - Wisemans Ferry,21,-33.6315,151.0107,NSW,Major Cities,12,2,7,Government
East Arnhem,19,-12.679,136.2374,NT,Very Remote,13,0,6,Government
East Pilbara,21,-21.5164,120.1864,WA,Very Remote,15,1,5,Government
Eastern Suburbs - North,43,-33.8848,151.2566,NSW,Major Cities,16,7,20,Independent
Eastern Suburbs - South,42,-33.9316,151.2406,NSW,Major Cities,18,14,10,Government
Esperance,17,-33.7133,121.4957,WA,Remote,13,1,3,Government
Essendon,27,-37.7656,144.917,VIC,Major Cities,15,8,4,Government
Eyre Peninsula and South West,43,-33.3237,135.7989,SA,Remote,36,4,3,Government
Fairfield,57,-33.8717,150.9003,NSW,Major Cities,35,11,11,Government
Far North,46,-13.9245,143.4209,QLD,Very Remote,39,5,2,Government
Fleurieu - Kangaroo Island,22,-35.4657,138.507,SA,Inner Regional,19,0,3,Government
Forest Lake - Oxley,22,-27.5983,152.9609,QLD,Major Cities,15,3,4,Government
Frankston,55,-38.1383,145.1528,VIC,Major Cities,39,7,9,Government
Fremantle,23,-32.0555,115.7542,WA,Major Cities,12,6,5,Government
Gascoyne,12,-24.676,114.0798,WA,Very Remote,8,3,1,Government
Gawler - Two Wells,15,-34.5983,138.71,SA,Major Cities,7,3,5,Government
Geelong,98,-38.1324,144.3441,VIC,Major Cities,59,19,20,Government
Gippsland - East,44,-37.7395,148.0073,VIC,Outer Regional,35,4,5,Government
Gippsland - South West,46,-38.5255,145.7524,VIC,Inner Regional,33,5,8,Government
Gladstone,38,-24.0428,151.3835,QLD,Inner Regional,26,4,8,Government
Glen Eira,54,-37.8966,145.0356,VIC,Major Cities,24,9,21,Government
Glenelg - Southern Grampians,42,-37.9007,141.8307,VIC,Outer Regional,28,6,8,Government
Gold Coast - North,7,-27.9244,153.3849,QLD,Major Cities,5,1,1,Government
Gold Coast Hinterland,8,-28.0301,153.2007,QLD,Inner Regional,7,0,1,Government
Goldfields,38,-29.4507,122.8706,WA,Outer Regional,31,3,4,Government
Gosford,69,-33.435,151.3521,NSW,Major Cities,44,7,18,Government
Gosnells,42,-32.0649,115.9684,WA,Major Cities,30,6,6,Government
Goulburn - Mulwaree,28,-34.67,149.6643,NSW,Inner Regional,22,4,2,Government
Grampians,67,-36.7353,142.4059,VIC,Outer Regional,51,11,5,Government
Granite Belt,46,-28.2719,151.9621,QLD,Inner Regional,36,5,5,Government
Great Lakes,17,-32.2659,152.3543,NSW,Inner Regional,13,2,2,Government
Griffith - Murrumbidgee (West),45,-34.3946,146.1831,NSW,Outer Regional,32,8,5,Government
Gungahlin,19,-35.1784,149.1285,ACT,Major Cities,12,4,3,Government
Gympie - Cooloola,32,-26.1698,152.6455,QLD,Inner Regional,26,3,3,Government
Hawkesbury,16,-33.5175,150.7383,NSW,Inner Regional,14,0,2,Government
Heathcote - Castlemaine - Kyneton,40,-37.0979,144.3523,VIC,Inner Regional,32,5,3,Government
Hervey Bay,15,-25.2961,152.8433,QLD,Inner Regional,9,2,4,Government
Hobart - North East,25,-42.8742,147.3948,TAS,Inner Regional,17,4,4,Government
Hobart - North West,28,-42.815,147.2261,TAS,Inner Regional,17,7,4,Government
Hobart - South and West,16,-42.9928,147.3044,TAS,Inner Regional,8,2,6,Government
Hobart Inner,31,-42.8855,147.3166,TAS,Inner Regional,16,6,9,Government
Hobsons Bay,29,-37.8536,144.8533,VIC,Major Cities,17,9,3,Government
