"ACARA SML ID","School Name","Suburb","State","Postcode","School Sector","School Type","ICSEA Percentile","CRICOS Status","CRICOS Registered","Jitter","Match Type","CRICOS Provider Code","CRICOS Institution","CRICOS Location"
"49645","Bowden Brompton Community School","Brompton","SA","5007","Government","Special","12","Not registered","0","0.0607","","","",""
"49646","Riverdale Primary School","Salisbury Downs","SA","5108","Government","Primary","20","Not registered","0","0.0895","","","",""
"49647","The Heights School","Modbury Heights","SA","5092","Government","Combined","72","CRICOS registered","1","0.1182","Location name, state and postcode","00018A","Department for Education","The Heights School"
"49648","Burra Community School","Burra","SA","5417","Government","Combined","31","Not registered","0","0.1469","","","",""
"49649","Craigmore South Primary School","Craigmore","SA","5114","Government","Primary","16","Not registered","0","0.1756","","","",""
"49651","Stirling North Primary School","Stirling North","SA","5710","Government","Primary","21","Not registered","0","0.233","","","",""
"49652","Munno Para Primary School","Munno Para","SA","5115","Government","Primary","18","Not registered","0","0.2617","","","",""
"49653","Moonta Area School","Moonta","SA","5558","Government","Combined","16","CRICOS registered","1","0.2904","Location name, state and postcode","00018A","Department for Education","Moonta Area School"
"49656","Sheidow Park Primary School","Sheidow Park","SA","5158","Government","Primary","56","Not registered","0","-0.3435","","","",""
"49657","Mount Barker South Primary School","Mount Barker","SA","5251","Government","Primary","52","Not registered","0","-0.3148","","","",""
"49658","Ardtornish Primary School","St Agnes","SA","5097","Government","Primary","66","Not registered","0","-0.2861","","","",""
"49660","Gordon Education Centre","Mount Gambier","SA","5290","Government","Special","25","Not registered","0","-0.2287","","","",""
"49661","Mulga Street Primary School","Mount Gambier","SA","5290","Government","Primary","22","Not registered","0","-0.1999","","","",""
"49662","Thiele Primary School","Aberfoyle Park","SA","5159","Government","Primary","57","Not registered","0","-0.1712","","","",""
"49663","Aberfoyle Park High School","Aberfoyle Park","SA","5159","Government","Secondary","64","CRICOS registered","1","-0.1425","Location name, state and postcode","00018A","Department for Education","Aberfoyle Park High School"
"49664","Adelaide Secondary School of English","West Croydon","SA","5008","Government","Secondary","29","CRICOS registered","1","-0.1138","Location name, state and postcode","00018A","Department for Education","Adelaide Secondary School of English"
"49667","Woodcroft Primary School","Woodcroft","SA","5162","Government","Primary","49","Not registered","0","-0.0277","","","",""
"49668","The Pines School","Parafield Gardens","SA","5107","Government","Primary","32","Not registered","0","0.001","","","",""
"49669","Kaurna Plains School","Elizabeth","SA","5112","Government","Combined","1","Not registered","0","0.0297","","","",""
"49671","Port Lincoln Special School","Port Lincoln","SA","5606","Government","Special","11","Not registered","0","0.0871","","","",""
"49672","Roxby Downs Area School","Roxby Downs","SA","5725","Government","Combined","16","CRICOS registered","1","0.1158","Location name, state and postcode","00018A","Department for Education","Roxby Downs Area School"
"49673","Golden Grove High School","Golden Grove","SA","5125","Government","Secondary","50","CRICOS registered","1","0.1445","Location name, state and postcode","00018A","Department for Education","Golden Grove High School"
"49674","Burton Primary School","Burton","SA","5110","Government","Primary","23","Not registered","0","0.1732","","","",""
"49675","Keithcot Farm Primary School","Wynn Vale","SA","5127","Government","Primary","56","Not registered","0","0.202","","","",""
"49676","Golden Grove Primary School","Golden Grove","SA","5125","Government","Primary","56","Not registered","0","0.2307","","","",""
"49677","Settlers Farm Campus R-6","Paralowie","SA","5108","Government","Primary","25","Not registered","0","0.2594","","","",""
"49678","Blakeview Primary School","Blakeview","SA","5114","Government","Primary","15","Not registered","0","0.2881","","","",""
"49679","Seaford Rise Primary School","Seaford Rise","SA","5169","Government","Primary","36","Not registered","0","0.3168","","","",""
"49680","Greenwith Primary School","Greenwith","SA","5125","Government","Primary","56","Not registered","0","0.3455","","","",""
"49682","Hewett Primary School","Hewett","SA","5118","Government","Primary","50","Not registered","0","-0.3171","","","",""
"49683","Playford Primary School","Craigmore","SA","5114","Government","Primary","23","CRICOS registered","1","-0.2884","Location name, state and postcode","00018A","Department for Education","Playford Primary School"
"49684","Sturt Street Community School","Adelaide","SA","5000","Government","Primary","88","CRICOS registered","1","-0.2597","Location name, state and postcode","00018A","Department for Education","Sturt Street Community School"
"49685","Mark Oliphant College (B-12)","Munno Para West","SA","5115","Government","Combined","15","Not registered","0","-0.231","","","",""
"49686","Catherine McAuley School","Craigmore","SA","5114","Catholic","Primary","36","Not registered","0","-0.2023","","","",""
